company,assessment_date,institution_type,pcaf_signatory,pcaf_part,criterion,score,max_score,percentage,verification_status,extraction_result,evidence,priority,gap_description,assessor_notes
Aviva,2024-12-31,Insurance,Signatory,Part A,Temporal Coverage,3,3,100.0,[VERIFIED],,Financed emissions tracked 2022-2024 (datasheet 3.4 R7-R12). 2019 baseline for WACI targets. 64% reduction achieved vs 2019 (datasheet 3.4 R16). 2030 ambition: 60% ECI reduction. Net zero by 2040. Score 3.,—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part B,Asset Class Coverage,N/A,N/A,,[N/A],,"N/A — Aviva is an insurer, not a bank/bancassurance.",N/A,N/A,V2 client-verified – N/A
Aviva,2024-12-31,Insurance,Signatory,Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Aviva,2024-12-31,Insurance,Signatory,Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Aviva,2024-12-31,Insurance,Signatory,Part C,Asset Class Coverage,0,5,0.0,[VERIFIED],,"IAE explicitly not reported. Verbatim: 'Due to challenges relating to methodology and accurate measurement with low quality data and coverage, we are not yet in a position to disclose our insurance-associated emissions under Scope 3 category 15 - underwriting'. Score 0.",—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part C,Attribution Methodology,0,5,0.0,[VERIFIED],,No insurance-associated emissions attribution methodology disclosed. IAE not yet reported.,—,—,V2 client-verified
Aviva,2024-12-31,Insurance,Signatory,Part C,Temporal Coverage,0,3,0.0,[VERIFIED],,No historical IAE data. First disclosure expected in future years.,—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Asset Class Coverage,1,5,20.0,[UNVERIFIED],,"6.0/18 = 33.3%. Asset classes found: ['listed_equity_bonds', 'mortgages', 'motor_vehicle', 'sovereign_debt'].",—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Data Quality Score,2,5,40.0,[UNVERIFIED],"[FOUND — HUMAN VERIFICATION REQUIRED: DQS values extracted by regex, need context check]",DQS value: 4.0.,—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Attribution Methodology,2,5,40.0,[UNVERIFIED],,"PCAF mentioned (L1806), partial coverage.",—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Portfolio Coverage,1,5,20.0,[UNVERIFIED],"[FOUND — HUMAN VERIFICATION REQUIRED: 24.0% found at L2026, verify this is PCAF portfolio coverage not another metric]",Coverage: 24.0%.,—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part A,Temporal Coverage,3,3,100.0,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: True.",—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part B,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not a bank/bancassurance.,N/A,N/A,V2 client-verified – N/A
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part C,Asset Class Coverage,2,5,40.0,[UNVERIFIED],,IAE mentioned at L1796.,—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part C,Attribution Methodology,2,5,40.0,[UNVERIFIED],,Methodology details require human verification.,—,—,V2 client-verified
AXA,2024-12-31,Insurance,Non-signatory (mentions PCAF),Part C,Temporal Coverage,1,3,33.3,[UNVERIFIED],,Temporal extent requires human verification.,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part A,Asset Class Coverage,5,5,100.0,[CLIENT-VERIFIED],,18/18 coefficient coverage (100%) – full coverage of all asset classes including sovereign debt S3 (consumption-based),—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part A,Data Quality Score,3,5,60.0,[CLIENT-VERIFIED],,Average DQS ~4.05 across asset classes,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part A,Attribution Methodology,4,5,80.0,[CLIENT-VERIFIED],,Full PCAF methods per asset class (PCAF signatory),—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part A,Portfolio Coverage,2,5,40.0,[CLIENT-VERIFIED],,~54% portfolio coverage,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part A,Temporal Coverage,1,3,33.3,[CLIENT-VERIFIED],,Current year + 1 prior year (2 years),—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part B,Asset Class Coverage,0,5,0.0,[CLIENT-VERIFIED],,No facilitated emissions data published,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part B,Attribution Methodology,0,5,0.0,[CLIENT-VERIFIED],,No facilitated emissions attribution disclosed,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part B,Temporal Coverage,0,3,0.0,[CLIENT-VERIFIED],,No historical facilitated emissions data,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part C,Asset Class Coverage,3,5,60.0,[CLIENT-VERIFIED],,"Insurance-related emissions published within financed emissions (Scopes 1, 2 and 3) but no breakdown by insurance branch – 50% coverage estimated (4/8 coefficient)",—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part C,Attribution Methodology,0,5,0.0,[CLIENT-VERIFIED],,No insurance-specific attribution methodology disclosed,—,—,V2 client-verified
Commerzbank,2024-12-31,Bank,Signatory,Part C,Temporal Coverage,0,3,0.0,[CLIENT-VERIFIED],,No dedicated historical series for insurance-associated emissions,—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part A,Asset Class Coverage,1,5,20.0,[UNVERIFIED],,"3.5/18 = 19.4%. Asset classes found: ['business_loans', 'mortgages'].",—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part A,Data Quality Score,0,5,0.0,[UNVERIFIED],[NOT FOUND],DQS value: None.,—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part A,Attribution Methodology,2,5,40.0,[UNVERIFIED],,"PCAF mentioned (L3696), partial coverage.",—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part A,Portfolio Coverage,0,5,0.0,[CLIENT-VERIFIED],,"No PCAF portfolio coverage disclosed. The 89.2% at L22013 is the share of investment grade-rated counterparties ('La part de notations investment grade s'améliore et représente 89,2% du portefeuille'), not financed emissions coverage.",—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part A,Temporal Coverage,3,3,100.0,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: True.",—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part B,Asset Class Coverage,0,5,0.0,[UNVERIFIED],[NOT FOUND],No facilitated emissions identified.,—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part B,Attribution Methodology,0,5,0.0,[UNVERIFIED],[NOT FOUND],,—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part B,Temporal Coverage,0,3,0.0,[UNVERIFIED],[NOT FOUND],,—,—,V2 client-verified
Crédit Agricole,2024-12-31,Bank,Signatory,Part C,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not an insurer/reinsurer.,N/A,N/A,V2 client-verified – N/A
Crédit Agricole,2024-12-31,Bank,Signatory,Part C,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Crédit Agricole,2024-12-31,Bank,Signatory,Part C,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part A,Asset Class Coverage,1,5,20.0,[VERIFIED],,"Deutsche Börse is a stock exchange/market infrastructure provider, not a financial institution with investment portfolios. Scope 3 Category 15 (Investments) = only 1,396 tCO2e (L3440) from treasury/own investments. GHG Protocol used, no PCAF. Asset classes in Category 15 not broken down. Score 1 based on minimal Category 15 reporting.",—,—,V2 client-verified
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part A,Data Quality Score,0,5,0.0,[VERIFIED],,"No PCAF DQS — PCAF not used. GHG emissions calculated using GHG Protocol with ecoinvent, CDP, CEDA, IEA, DEFRA factors (L3404-3411). No data quality score for financed emissions. Score 0.",—,—,V2 client-verified
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part A,Attribution Methodology,0,5,0.0,[VERIFIED],,"PCAF is not mentioned anywhere in the report. Confirmed: Non-signatory (no mention). Deutsche Börse uses GHG Protocol for operational emissions, SBTi for targets (L3297). Category 15 calculated using GHG Protocol, not PCAF methodology. Score 0.",—,—,V2 client-verified
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part A,Portfolio Coverage,0,5,0.0,[VERIFIED],,"No portfolio coverage concept applicable. Deutsche Börse's Category 15 (1,396 tCO2e) is 1.1% of total GHG emissions (L3440). No investment portfolio coverage rate disclosed or relevant. Score 0.",—,—,V2 client-verified
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part A,Temporal Coverage,2,3,66.7,[VERIFIED],,"GHG emissions reported for 2022 (base year) and 2024 (L3440). SBTi targets: -42% S1&S2 by 2030, net zero by 2045 (L3297-3302). Category 15 data for 2 years only. Score 2: 2 years + targets.",—,—,V2 client-verified
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part B,Asset Class Coverage,N/A,N/A,,[N/A],,"N/A — Deutsche Börse is a stock exchange, not a bank/bancassurance.",N/A,N/A,V2 client-verified – N/A
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part C,Asset Class Coverage,N/A,N/A,,[N/A],,"N/A — Deutsche Börse is a stock exchange, not an insurer/reinsurer.",N/A,N/A,V2 client-verified – N/A
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part C,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Deutsche Börse,2024-12-31,Exchange,Non-signatory (no mention),Part C,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part A,Asset Class Coverage,1,5,20.0,[UNVERIFIED],,0.5/18 = 2.8%. Asset classes found: ['mortgages'].,—,—,V2 client-verified
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part A,Data Quality Score,0,5,0.0,[UNVERIFIED],[NOT FOUND],DQS value: None.,—,—,V2 client-verified
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part A,Attribution Methodology,2,5,40.0,[UNVERIFIED],,"PCAF mentioned (L2646), partial coverage.",—,—,V2 client-verified
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part A,Portfolio Coverage,5,5,100.0,[UNVERIFIED],"[FOUND — HUMAN VERIFICATION REQUIRED: 99.7% found at L2620, verify this is PCAF portfolio coverage not another metric]",Coverage: 99.7%.,—,—,V2 client-verified
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part A,Temporal Coverage,3,3,100.0,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: True.",—,—,V2 client-verified
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part B,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not a bank/bancassurance.,N/A,N/A,V2 client-verified – N/A
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part C,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not an insurer/reinsurer.,N/A,N/A,V2 client-verified – N/A
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part C,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
Eurazeo,2024-12-31,Asset Manager,Non-signatory (mentions PCAF),Part C,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part A,Asset Class Coverage,0,5,0.0,[UNVERIFIED],,0/18 = 0.0%. Asset classes found: [].,—,—,V2 client-verified
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part A,Data Quality Score,0,5,0.0,[UNVERIFIED],[NOT FOUND],DQS value: None.,—,—,V2 client-verified
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part A,Attribution Methodology,2,5,40.0,[UNVERIFIED],,"PCAF mentioned (L14679), partial coverage.",—,—,V2 client-verified
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part A,Portfolio Coverage,2,5,40.0,[UNVERIFIED],"[FOUND — HUMAN VERIFICATION REQUIRED: 46.0% found at L19789, verify this is PCAF portfolio coverage not another metric]",Coverage: 46.0%.,—,—,V2 client-verified
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part A,Temporal Coverage,3,3,100.0,[UNVERIFIED],,"Years: [2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]. Targets: True.",—,—,V2 client-verified
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part B,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not a bank/bancassurance.,N/A,N/A,V2 client-verified – N/A
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part B,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part B,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part C,Asset Class Coverage,N/A,N/A,,[N/A],,N/A — not an insurer/reinsurer.,N/A,N/A,V2 client-verified – N/A
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part C,Attribution Methodology,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
GBL,2024-12-31,Investment Holding,Non-signatory (mentions PCAF),Part C,Temporal Coverage,N/A,N/A,,[N/A],,N/A,N/A,N/A,V2 client-verified – N/A
